time_iso8601,stars_cumulative
2022-02-11 00:00:00+00:00,1
2022-02-26 00:00:00+00:00,2
2022-03-15 00:00:00+00:00,3
2022-03-21 00:00:00+00:00,4
2022-04-04 00:00:00+00:00,5
2022-04-05 00:00:00+00:00,6
2022-04-08 00:00:00+00:00,7
2022-04-10 00:00:00+00:00,8
2022-04-13 00:00:00+00:00,9
2022-04-14 00:00:00+00:00,10
2022-05-21 00:00:00+00:00,11
2022-06-09 00:00:00+00:00,12
2022-06-30 00:00:00+00:00,13
2022-09-13 00:00:00+00:00,14
2022-09-17 00:00:00+00:00,15
2022-10-10 00:00:00+00:00,16
2022-12-12 00:00:00+00:00,17
2022-12-13 00:00:00+00:00,18
2023-03-17 00:00:00+00:00,19
2023-05-24 00:00:00+00:00,20
2023-07-21 00:00:00+00:00,21
